"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:0062197","cellular response to chemical stress",0.0276116185137501,656,1.33660279666841,3.3539837573926e-13,4.56421289651843e-11,272390,111,291,1.06015011423111,0.236820787555767,0.713565071474864
"GO:0001523","retinoid metabolic process",0.00497639243649753,164,1.85404221014343,3.8924419243358e-13,5.21012923150849e-11,144266,37,76,1.35308633000549,0.0153429965815987,0.226684025101073
"GO:0045986","negative regulation of smooth muscle contraction",0.00213491538825838,90,2.37165892713483,4.71622740860766e-13,6.21096722440025e-11,217447,10,12,2.31609371802742,0.00108496759329357,0.0426057827889312
"GO:0071389","cellular response to mineralocorticoid stimulus",0.0013545058893232,67,2.78281474368176,5.17696996382710e-13,6.70951742137275e-11,222963,7,13,1.49655286395618,0.146339477032845,0.596834080905683
"GO:0033993","response to lipid",0.0902609220742252,1883,1.17365632830433,5.95079541199084e-13,7.59191320920394e-11,238083,335,870,1.07019502832991,0.0605010274204234,0.425761944569087
"GO:0048679","regulation of axon regeneration",0.00404879412295831,140,1.94532752761603,7.32747196252603e-13,9.20443208831155e-11,250140,13,28,1.29039507147242,0.169131782345629,0.639037946715438
"GO:0042398","cellular modified amino acid biosynthetic process",0.00409240172783362,141,1.93834573901326,7.8248518775581e-13,9.68029023943362e-11,316670,18,42,1.19113391212839,0.219336014863767,0.694326884451514
"GO:0035872","nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway",0.00323405340055726,119,2.07009447052763,8.11795075605914e-13,9.82216269102978e-11,196346,16,27,1.64699997726394,0.0114895355306111,0.193826565304626
"GO:0038061","non-canonical NF-kappaB signal transduction",0.00975153903587505,274,1.58076674079399,8.18012324543815e-13,9.82216269102978e-11,242110,49,110,1.23805736927284,0.0390725316367064,0.369672330027472
"GO:0050911","detection of chemical stimulus involved in sensory perception of smell",0.00980163374216021,275,1.57842741086669,8.6763929374456e-13,1.02670649759773e-10,184275,104,329,0.878566857172711,0.958710505790941,0.998702639885867
"GO:1901184","regulation of ERBB signaling pathway",0.00805014801918197,234,1.63531862155288,1.64157576421076e-12,1.91478087354012e-10,306508,28,71,1.09606688627776,0.311161324171112,0.76190172516331
"GO:0045922","negative regulation of fatty acid metabolic process",0.00301350182437243,112,2.09091777475357,2.0442536552423e-12,2.35089170352865e-10,303539,15,41,1.01682163230472,0.526558375292084,0.873807100125576
"GO:0032717","negative regulation of interleukin-8 production",0.00136929785577456,66,2.71166726298276,2.30704344517108e-12,2.61625135136414e-10,306856,5,16,0.868535144260282,0.738238264293143,0.943156849937962
"GO:0070294","renal sodium ion absorption",0.00171310606077242,76,2.49585718657056,2.78188583280325e-12,3.11152024997789e-10,312500,8,12,1.85287497442194,0.0302329103992647,0.319106863729038
"GO:0021517","ventral spinal cord development",0.00743139727800714,218,1.65035132105575,4.11493061847068e-12,4.54032547294772e-10,306830,21,43,1.35733864405328,0.0567656352919215,0.425761944569087
"GO:0038146","chemokine (C-X-C motif) ligand 12 signaling pathway",0.00142216107734368,67,2.65043040430608,4.19797530071264e-12,4.57019577737583e-10,336481,5,7,1.98522318688065,0.0623660642675677,0.425912877170023
