"id","description","genome_fraction","observed_region_hits","fold_enrichment","p_value","p_adjust","mean_tss_dist","observed_gene_hits","gene_set_size","fold_enrichment_hyper","p_value_hyper","p_adjust_hyper"
"GO:1902172","regulation of keratinocyte apoptotic process",0.000705559166741958,106,2.02796160382828,4.5058401454412e-11,2.28474059941892e-10,212921,7,7,1.07503264869999,0.602574329955873,0.787227490867444
"GO:0006026","aminoglycan catabolic process",0.00166200920165362,202,1.64060959440245,4.50717241307075e-11,2.28474059941892e-10,112530,33,34,1.04341404138528,0.303130134519633,0.708459051210448
"GO:0044087","regulation of cellular component biogenesis",0.108194324486276,8569,1.06908679316602,4.55486759420864e-11,2.30761043971601e-10,164491,951,969,1.05506300197491,6.79456491070596e-14,5.33254142597247e-12
"GO:0098581","detection of external biotic stimulus",0.00126129035756222,163,1.74445523863627,4.58867388530848e-11,2.32342191578127e-10,86577,21,21,1.07503264869999,0.218658873742319,0.598635539587677
"GO:0006778","porphyrin-containing compound metabolic process",0.00189447019327242,224,1.59605386105078,4.70133931784744e-11,2.37864216797621e-10,48975,47,48,1.0526361351854,0.142423935777475,0.466764451795264
"GO:0071900","regulation of protein serine/threonine kinase activity",0.0275331466109057,2335,1.14477026177887,4.70304906130536e-11,2.37864216797621e-10,165414,227,235,1.03843579257403,0.0143635809008804,0.0961908370660008
"GO:0042908","xenobiotic transport",0.00344046692863089,365,1.43206515746674,4.95364860242375e-11,2.50397141502177e-10,81872,44,45,1.05114303428443,0.168361042124228,0.523575336769368
"GO:0010951","negative regulation of endopeptidase activity",0.00766006513476684,728,1.28288054260884,4.97171193103441e-11,2.51168304048362e-10,132129,87,89,1.05087461165055,0.0471119099160021,0.228337084517048
"GO:0030212","hyaluronan metabolic process",0.00270766445496586,299,1.49060868059438,5.15087972274841e-11,2.60072916926806e-10,171504,34,34,1.07503264869999,0.0852418831503887,0.33731053894141
"GO:0007097","nuclear migration",0.0021637660884153,249,1.55337509723305,5.18873832788813e-11,2.61836671289425e-10,95883,27,28,1.03663862553213,0.408765900622398,0.780785262751599
